subdis_id,subdis_name,dis_id
542,BARAT PAYA ITEK,207
545,BARE BLANG,207
566,BAROH KUTA BATEE,207
676,BEURINGEN,207
793,BLANG CUT,207
1233,CIBREK,207
1633,DRIEN PUNTONG,207
1792,GAMPONG TEUNGOH,207
1893,GEULUMPANG,207
2364,KEH,207
2430,KEUDE JUNGKA GAJAH,207
2431,KEUDE KARIENG,207
2717,KUMBANG,207
3268,LEUBEUK TUWE,207
3566,MANYANG,207
3721,MEE,207
3766,MESJID BLUEK,207
3810,MESJID,207
4051,MEUNYE PAYONG,207
4052,MEUNYE PEUT,207
4075,MEURIA BLUEK,207
4206,NGA,207
4210,NIBONG,207
4581,PAYA BILI,207
4613,PAYA KAMBUK,207
4659,PAYA SUTRA,207
4845,PRI KEUTAPANG,207
4890,PULO BLANG,207
4894,PULO BLUEK,207
4901,PULO DRIEN BEUKAH,207
4934,PULO KITON,207
5087,RANGKILEH,207
5108,RANTO,207
5132,RAYEUK MATANG,207
5137,RAYEUK PAYA ITEK,207
5164,REUDEUP,207
5184,RHENG BLUEK,207
5298,SARAMABA,207
5892,TANJONG,207
6029,TEUNGOH KUTA BATEE,207
6035,TEUNGOH REUBA,207
6145,TUALANG,207
6175,TUMPOK TEUNGKU,207
6221,UBIT PAYA ITEK,207
6257,UJONG REUBA,207
6284,UJUNG KUTA BATEE,207
6327,ULEE CEUBREK,207
6352,ULEE MEURIA,207
