subdis_id,subdis_name,dis_id
72609,BOMBAY,6185
72619,DAFTEL,6185
72631,DEPUR,6185
72651,ELAT,6185
72657,ELRALANG,6185
72671,FAKO,6185
72672,FANGAMAS,6185
72716,HARANGUR,6185
72845,KARKARIT,6185
72974,LER OHOILIM,6185
73065,MATAHOLAT,6185
73097,NABAHENG,6185
73136,NGAT,6185
73138,NGEFUIT ATAS,6185
73139,NGEFUIT,6185
73141,NGURDU,6185
73169,OHOIEL,6185
73175,OHOILIM,6185
73179,OHOINANGAN,6185
73188,OHOIWAIT,6185
73189,OHOIWANG,6185
73234,RAHARENG ATAS,6185
73235,RAHARENG,6185
73247,REYAMRU,6185
73338,SIRBANTE,6185
73354,SOINRAT,6185
73453,UDAR,6185
73567,WAKOL,6185
73615,WATSIN,6185
73617,WATUAR,6185
73621,WAUR,6185
73622,WAURTAHAIT,6185
73636,WERKA,6185
73637,WERMAF,6185
73650,WULURAT,6185
73659,YAMTEL,6185
