subdis_id,subdis_name,dis_id
40654,BANTEAN (BANTEYAN),3535
40765,BATOR,3535
41103,BRAGANG,3535
41230,BULUK AGUNG,3535
41241,BULUNG,3535
42878,KARANG ASEM,3535
43755,KLAMPIS BARAT,3535
43758,KLAMPIS TIMUR,3535
43864,KO\OL,3535
44076,LARANGAN GLINTONG,3535
44081,LARANGAN SORJAN,3535
44169,LERGUNONG,3535
44335,MANONGGAL,3535
44661,MRANDUNG,3535
44676,MUARAH (MOARAH),3535
45402,PANYAKSAGAN,3535
45828,POLONGAN,3535
46163,RA\AS,3535
48082,TENGGUN DAYA,3535
48183,TOBADDUNG,3535
48195,TOLBUK (TOLLUK),3535
48248,TROGAN,3535
