subdis_id,subdis_name,dis_id
25,AJEE CUT,20
26,AJEE PAGAR AIR,20
27,AJEE RAYEUK,20
378,ATEUK ANGGOK,20
386,ATEUK LUENG IE,20
445,BADA,20
474,BAKOY,20
707,BINEEH BLANG,20
1149,BUNG CEUKOK,20
1250,COT ALUE,20
1261,COT BADA,20
1300,COT GOT,20
1384,COT MONTIWAN,20
1431,COT SURUY,20
1618,DHAM CEUKOK,20
1619,DHAM PULO,20
1808,GANI,20
2213,JURONG PEUJEURA,20
2240,KALUT,20
2332,KAYEE LEE,20
2929,LAM COT,20
2972,LAM SINYEU,20
2977,LAM TEUNGOH,20
2980,LAM UE,20
2990,LAMBADA,20
3005,LAMBARO,20
3022,LAMDAYA,20
3094,LAMPREH L. TEUNGOH,20
3095,LAMPREH LAM JAMPROK,20
3399,LHOK SUKON,20
3456,LUBOK GAPUY,20
3461,LUBUK BATEE,20
3869,MEUNASAH BARO,20
3905,MEUNASAH DAYAH,20
3937,MEUNASAH KRUENG,20
3966,MEUNASAH MANYANG LG,20
3967,MEUNASAH MANYANG PAGAR AIR,20
3971,MEUNASAH MANYET,20
4034,MEUNASAH TEUTONG,20
4273,PALEUH BLANG,20
4274,PALEUH PULO,20
4428,PANTEE,20
4535,PASIE LG,20
4536,PASIE LUBOK,20
5175,REULOH,20
5284,SANTAN,20
5651,SIRON,20
5889,TANJONG,20
6007,TEUBANG PHUI,20
6267,UJONG XII,20
