subdis_id,subdis_name,dis_id
31316,BALAMOA,2677
31649,BEDUG,2677
31843,BOGARES KIDUL,2677
31844,BOGARES LOR,2677
32386,CURUG,2677
32503,DEPOK,2677
32513,DERMASANDI,2677
32515,DERMASUCI,2677
32615,DUKUHJATI KIDUL,2677
32626,DUKUHSEMBUNG,2677
33092,GROBOG KULON,2677
33093,GROBOG WETAN,2677
33483,JENGGAWUR,2677
33856,KALIKANGKUNG,2677
34891,KENDALSERUT,2677
36496,PAKETIBAN,2677
36610,PANGKAH,2677
36752,PECABEAN,2677
36874,PENER,2677
36915,PENUSUPAN,2677
37315,PURBAYASA,2677
37430,RANCAWIRU,2677
38667,TALOK,2677
