subdis_id,subdis_name,dis_id
21940,BUMI RATU,1710
21946,BUMI REJO,1710
21992,CANDI RETNO,1710
22072,GANJARAN,1710
22139,GEMAH RIPAH,1710
22158,GUMUK MAS,1710
22159,GUMUK REJO,1710
22380,KARANGSARI,1710
22620,LUGUSARI,1710
22903,PADANG REJO,1710
22922,PAGELARAN,1710
22941,PAMENANG,1710
22973,PANUTAN,1710
22998,PASIR UKIR,1710
23001,PATOMAN,1710
23099,PUJI HARJO,1710
23350,SIDODADI,1710
23653,SUKARATU,1710
23655,SUKAWANGI,1710
23711,SUMBER REJO,1710
23822,TANJUNG DALAM / DALOM,1710
24115,WAY NGISOM,1710
