subdis_id,subdis_name,dis_id
6512,AEK LANCAT,331
6971,BATANG BULU JAE,331
6973,BATANG BULU TANGGAL,331
6984,BATANG TANGGAL BARU,331
7185,BONAL,331
7638,GUNUNG MANOBOT,331
8057,HUTA DOLOK (LATONG),331
8078,HUTA IBUS,331
8092,HUTA LOMBANG,331
8105,HUTA NOPAN,331
8238,JANJI LOBI LIMA,331
8253,JANJI MATOGU,331
9514,PAGARAN JAE BATU,331
9515,PAGARAN JALU JALU,331
9522,PAGARAN MALAKA,331
9524,PAGARAN MOMPANG,331
9527,PAGARAN SILINDUNG,331
9837,PARSOMBAAN,331
9887,PASAR LATONG,331
10572,SANGKILON,331
10828,SIALI ALI,331
11109,SIHIUK,331
11828,SURODINGIN,331
11906,TANGGA BOSI,331
