subdis_id,subdis_name,dis_id
92,ALUE DALAM,62
113,ALUE GADENG,62
276,ALUR LHOK,62
279,ALUR LUDIN I (SATU,62
280,ALUR LUDIN II (DUA),62
283,ALUR MERBO,62
454,BAGOK PANAH I,62
455,BAGOK PANAH II,62
456,BAGOK PANAH III,62
457,BAGOK PANAH IV,62
776,BLANG BUKET,62
1058,BUKET KULAM,62
1085,BUKET RAYA,62
1086,BUKET RUMIA / RUMIYA,62
1098,BUKET TUALANG,62
1489,DAMA POLO II,62
1490,DAMA PULO I,62
1683,GAMPONG BARO )KAMPUNG BARO),62
1705,GAMPONG BEUNOT (KAMPUNG BEUNOT),62
1744,GAMPONG KEUDE (KAMPUNG KEUDE),62
1820,GASEH SAYANG,62
1948,GRONG-GRONG,62
2202,JUNGKA GAJAH,62
2300,KAPAI BARO,62
2371,KEMUNING I,62
2372,KEMUNING II,62
2373,KEMUNING III,62
2374,KEMUNING IV,62
2375,KEMUNING V,62
2656,KUALA IDI CUT,62
3340,LHOK GEULUMPANG,62
3601,MATANG GEUTOU,62
3651,MATANG PINEUNG,62
3881,MEUNASAH BLANG,62
3932,MEUNASAH KEUTAPANG,62
4763,PEUKAN IDI CUT (KEUDE IDI CUT),62
5427,SEUNEUBOK ACEH,62
5441,SEUNEUBOK BAROH,62
5446,SEUNEUBOK BULOH,62
5507,SEUNEUBOK SIMPANG,62
5510,SEUNEUBOK TEUNGOH,62
5520,SEUNEUBOK TUHA I,62
5521,SEUNEUBOK TUHA II,62
6052,TEUPIN DRUM,62
6122,TRIENG GADENG,62
