subdis_id,subdis_name,dis_id
6941,BARU (DESA BARU),542
7158,BINTANG MERIAH,542
7435,DORIN TONGGAL (DURIN TUNGGAL),542
7441,DURIAN JANGAK,542
7452,DURIN SIMBELANG A,542
7668,GUNUNG TINGGI,542
8009,HULU (KAMPUNG HULU),542
8608,LAMA,542
9268,NAMO BINTANG,542
9278,NAMO RIAM,542
9279,NAMO RIH,542
9281,NAMO SIMPUR,542
10206,PERTAMPILAN (PERTAMPILEN),542
10216,PERUMNAS SIMALINGKAR,542
10524,SALAM TANI,542
10647,SEI GLUGUR (GELUGUR),542
10768,SEMBAHE BARU,542
11222,SIMALINGKAR A,542
11706,SUGOU (SUGAU),542
11757,SUKA RAYA,542
11919,TANJUNG ANOM,542
12148,TENGAH (KAMPUNG TENGAH),542
12171,TIANG LAYAR,542
12289,TUNTUNGAN I,542
12290,TUNTUNGAN II,542
