subdis_id,subdis_name,dis_id
69,ALUE BLANG,52
200,ALUE PANYANG,52
240,ALUE SIKAYA,52
245,ALUE SUNDAK,52
329,ARON BAROH,52
334,ARON TUNONG,52
472,BAKAT,52
894,BLANG MEE,52
1319,COT KEUMUDEE,52
1339,COT LAGAN BB / CM,52
1388,COT MURONG,52
1429,COT SITUAH,52
1507,DARUL HUDA,52
1640,DRIN MANGKO,52
1850,GEMPA RAYA,52
1922,GLEE SIBLAH,52
1986,GUNONG / GUNUNG RAMBONG,52
1995,GUNUNG HAMPA,52
2046,IE ITAM BAROH,52
2047,IE ITAM TUNONG,52
2142,JAWA,52
2143,JAWI,52
2478,KEULEUMBAH,52
2647,KUALA BHEE,52
3411,LHUNG TGK YAH,52
3474,LUENG BULOH,52
3480,LUENG JAWA,52
3490,LUENG TANOH THO,52
4238,PADANG JAWA,52
4466,PANTON,52
4499,PASI ACEH,52
4500,PASI ARA KB,52
4503,PASI BIRAH,52
4517,PASI LUNAK,52
4523,PASI PANDAN,52
4604,PAYA DUA,52
4631,PAYA LUAH,52
4925,PULO IE,52
5106,RANTO PANYANG,52
5408,SEUMANTOK,52
5696,SUAK TRING,52
6013,TEUMAROM,52
6100,TINGKEUM PANYANG,52
