subdis_id,subdis_name,dis_id
6472,AEK BARGOT,301
6768,BALAKKA (BALANGKA),301
6779,BALIMBING JAE,301
6780,BALIMBING JULU,301
6997,BATU GANA,301
7027,BATU RANCANG,301
7541,GARIANG,301
7748,HASAMBI,301
8619,LANTOSAN II,301
9446,PADANG BARUAS,301
9449,PADANG BUJUR,301
9576,PAMUNTARAN,301
9591,PANCUR PANGKO,301
9685,PARAN GADUNG,301
9689,PARAN NANGKA,301
9850,PARUPUK JAE,301
9851,PARUPUK JULU,301
10824,SIALANG,301
11487,SIPUPUS LOMBANG,301
11579,SITANGGORU,301
11630,SIUNGGAM DOLOK,301
11644,SOBAR,301
12300,UBAR,301
