subdis_id,subdis_name,dis_id
74930,AMAKOT,6448
75161,AYAK,6448
75240,BANUM,6448
75357,BINAM,6448
75442,BOR,6448
75474,BUBIS,6448
75495,BUMU,6448
75508,BURBIS,6448
75545,DAIKOT,6448
75590,DEKAMOR  /  DEKAMER,6448
75781,EMNAM,6448
76358,JINAK,6448
76497,KAPAYAP DUA,6448
76498,KAPAYAP SATU,6448
76499,KAPAYAP TIGA,6448
76517,KARBIS,6448
77473,NAGATUN,6448
78417,SOMNAK,6448
78428,SORAY  /  SORAI,6448
78823,UJUNG BATU,6448
78896,VAKAM DUA,6448
78897,VAKAM,6448
78907,WABAK,6448
78928,WAGABUS,6448
78930,WAGANU DUA,6448
78948,WAIJENS,6448
79317,WOWI,6448
