subdis_id,subdis_name,dis_id
15465,BATANG SANGIR,1127
15478,BEDENG BARU,1127
15487,BENDUNG AIR TIMUR,1127
15750,KERSIK TUO,1127
15765,KOTO BARU,1127
15802,KOTO PANJANG,1127
15805,KOTO PERIANG,1127
15822,KOTO TENGAH,1127
15831,KOTO TUO,1127
15887,LINDUNG JAYA,1127
15975,MEKAR JAYA,1127
15980,MEKAR SARI,1127
16155,PASAR SUNGAI TANDUK,1127
16378,RENAH KASAK,1127
16397,SANGIR TENGAH,1127
16398,SANGIR,1127
16576,SUNGAI BENDUNG AIR,1127
16591,SUNGAI DALAM,1127
16668,SUNGAI SAMPUN,1127
16672,SUNGAI TANDUK,1127
16758,TANJUNG BUNGO,1127
