subdis_id,subdis_name,dis_id
7059,BAWODESOLO (BAWADESOLO),573
7227,BOYO,573
7327,DAHADANO GAWU GAWU,573
7332,DAHANA TABALOHO,573
7482,FADORO LASARA,573
7781,HILI HAO,573
7877,HILIMBARUZO,573
7905,HILINA A,573
8203,ILIR,573
8217,IRAONOGEBA,573
8631,LASARA BAHILI,573
8792,LOLOMOYO / LELEWONU NIKOOTANO,573
8927,MADOLAOLI,573
8929,MADULA,573
9138,MIGA,573
9140,MOAWO,573
9193,MUDIK,573
9360,OMBOLATA ULU,573
9381,ONO WAEMBO,573
9403,ONOZITOLI OLORA,573
9405,ONOZITOLI SIFAOROASI (SIFOROASI),573
9869,PASAR GUNUNG SITOLI,573
10513,SAEWE,573
10574,SAOMBO,573
11004,SIFALAETE TABALOHO,573
11005,SIFALAETE ULU,573
11094,SIHAREO II TABALOHO,573
11240,SIMANDRAOLO,573
11520,SISARAHILI GAMO,573
11526,SISARAHILI SISAMBALAHE,573
11543,SISOBAHILI TABALOHO,573
12258,TUHEMBERUA ULU,573
