subdis_id,subdis_name,dis_id
31344,BALONGMULYO,2697
34115,KARANGANYAR,2697
34213,KARANGHARJO,2697
34263,KARANGLINCAK,2697
34522,KEBLORAN,2697
34883,KENDALAGUNG,2697
35167,KRAGAN,2697
35971,MOJOKERTO,2697
36105,NARUKAN,2697
36227,NGASINAN,2697
36560,PANDANGAN KULON,2697
36561,PANDANGAN WETAN,2697
37036,PLAWANGAN,2697
37895,SENDANG,2697
37918,SENDANGMULYO,2697
37935,SENDANGWARU,2697
38408,SUDAN,2697
38545,SUMBERGAYAM,2697
38562,SUMBERSARI,2697
38591,SUMURPULE,2697
38592,SUMURTAWANG,2697
38799,TANJUNGAN,2697
38829,TANJUNGSARI,2697
38920,TEGALMULYO,2697
39074,TERJAN,2697
39507,WATUPECAH,2697
39715,WORO,2697
