subdis_id,subdis_name,dis_id
71180,BALATE JAYA,5989
71189,BATU KRAMAT / KERAMAT,5989
71223,BONGO IV,5989
71224,BONGO NOL,5989
71225,BONGO TUA,5989
71247,BUALO,5989
71321,DILOATO,5989
71364,GIRISA,5989
71383,HULAWE (HULAWA),5989
71398,HUWONGO,5989
71445,KARYA MURNI,5989
71464,KUALALUMPUR,5989
71567,MOLOMBULAHE,5989
71607,MUSTIKA,5989
71610,MUTIARA,5989
71671,PERMATA,5989
71718,REJONEGORO,5989
71724,SARIPI,5989
71744,SOSIAL,5989
71756,SUMBER JAYA **,5989
71785,TANGKOBU,5989
71800,TENILO,5989
71885,WONGGAHU,5989
