subdis_id,subdis_name,dis_id
53,ALUE BARO,42
188,ALUE MEUTUAH,42
337,ARON / ARUN TUNGGAI,42
775,BLANG BLADEH,42
852,BLANG KUALA,42
995,BLANG TEUNGOH,42
1065,BUKET MEUH,42
1630,DRIEN JALO,42
2065,IE / LE BUBOH,42
2066,IE / LE DINGEN,42
2110,JAMBO PAPEUN,42
2446,KEUDE MEUKEK,42
2735,KUTA BARO (ABRO),42
2752,KUTA BULOH I,42
2753,KUTA BULOH II,42
2854,LABUHAN TAROK II,42
2855,LABUHAN TAROK,42
2861,LADANG BARO,42
2872,LADANG TUHA,42
3312,LHOK AMAN,42
3361,LHOK MAMPLAM,42
5215,ROT TEUNGOH,42
5902,TANJUNG HARAPAN,42
