subdis_id,subdis_name,dis_id
31789,BLARU,2932
32497,DENGKEK,2932
32687,GAJAHMATI,2932
32900,GERITAN,2932
33806,KALIDORO,2932
35367,KUTOHARJO,2932
36046,MULYOHARJO,2932
36082,MUSTOKOHARJO,2932
36218,NGARUS,2932
36277,NGEPUNGROJO,2932
36630,PANJUNAN,2932
36671,PARENGGAN,2932
36730,PATI KIDUL,2932
36731,PATI LOR,2932
36732,PATI WETAN,2932
36747,PAYANG,2932
37027,PLANGITAN,2932
37323,PURI,2932
37373,PURWOREJO,2932
37727,SARIREJO,2932
37839,SEMAMPIR,2932
38049,SIDOHARJO,2932
38062,SIDOKERTO,2932
38212,SINOMAN,2932
38425,SUGIHARJO,2932
38691,TAMBAHARJO,2932
38701,TAMBAHSARI,2932
39540,WIDOROKANDANG,2932
39564,WINONG,2932
