subdis_id,subdis_name,dis_id
31322,BALEDONO,2682
31970,BRENGGONG,2682
32214,CANGKREP KIDUL,2682
32215,CANGKREP LOR,2682
32555,DONORATI,2682
32573,DOPLANG,2682
32728,GANGGENG,2682
34656,KEDUNG SARI,2682
34990,KESENENG,2682
36014,MRANTI,2682
36027,MUDAL,2682
36398,PACEKELAN,2682
36427,PADUROSO,2682
36597,PANGENJURU TENGAH,2682
36598,PANGENREJO,2682
37045,PLIPIR,2682
37375,PURWOREJO,2682
37852,SEMAWUNG,2682
38031,SIDO MULYO,2682
38116,SIDOREJO,2682
38194,SINDURJAN,2682
38410,SUDIMORO,2682
38726,TAMBAKREJO,2682
39668,WONOROTO,2682
39708,WONOTULUS,2682
