subdis_id,subdis_name,dis_id
55324,BARAS NABUN,4577
55360,BEDAHA,4577
55365,BEGORI,4577
55467,BUNTUT PONTE,4577
55587,GURUNG SENGHIANG,4577
55689,KARYA JAYA,4577
56001,MENTAJOI,4577
56017,MERAKO JAYA,4577
56071,NANGA BIHE,4577
56082,NANGA JELUNDUNG,4577
56125,NANGA MENTATAI,4577
56152,NANGA RIYOI,4577
56161,NANGA SEGULANG,4577
56165,NANGA SERAWAI,4577
56176,NANGA TEKUNGAI,4577
56233,PAGAR LEBATA,4577
56437,RANTAU MALAM,4577
56524,SAWANG SENGHIANG,4577
56968,TAHAI PERMAI,4577
57007,TANJUNG HARAPAN,4577
57035,TANJUNG RAYA,4577
57092,TELUK HARAPAN,4577
57172,TONTANG,4577
57189,TUNAS HARAPAN,4577
