subdis_id,subdis_name,dis_id
270,ALUR BULUH (KUTA BULUH),122
294,AMALIAH,122
509,BAMBEL BARU,122
1509,DARUL IMAMI,122
1512,DARUSSALAM,122
1648,EMPAT LIMA,122
1964,GUMPANG,122
2395,KERUKUNAN,122
2771,KUTA LENGAT PAGAN,122
2772,KUTA LENGAT SELIAN,122
2773,KUTA LINGGA,122
2810,KUTE GEKHAT,122
3185,LAWE DUA GABUNGAN,122
3515,MAHA SINGKIL,122
3699,MBAK SAKO,122
4619,PAYA KHAMBUNG,122
4699,PEJUANG,122
5145,REMA,122
5195,RIKIT BUR II,122
5196,RIKIT BUR,122
5317,SEBUDI JAYA,122
5973,TENEMBAK BINTANG,122
6137,TUALANG BARU,122
