subdis_id,subdis_name,dis_id
21609,AGOM,1569
21645,BABULANG,1569
21869,BUAH BERAK,1569
21886,BULOK,1569
21895,BUMI AGUNG,1569
21995,CANGGU,1569
22227,GUNUNG TERANG,1569
22250,HARA BANJAR MANIS,1569
22297,JONDONG,1569
22319,KALIANDA,1569
22414,KECAPI,1569
22426,KEDATON,1569
22473,KESUGIHAN,1569
22629,MAJA,1569
22643,MARGA CATUR,1569
22730,MERAK BELANTUNG,1569
22783,MUNJUK SEMPURNA,1569
22847,NEGERI PANDAN,1569
22940,PALEMBAPANG,1569
23002,PAUH TANJUNG IMAN,1569
23041,PEMATANG,1569
23560,SUKA TANI,1569
23652,SUKARATU,1569
23734,SUMURKUMBANG,1569
23754,TAJIMALELA,1569
23773,TAMAN AGUNG,1569
23938,TENGKUJUH,1569
24050,WAI LUBUK,1569
24141,WAYURANG,1569
