subdis_id,subdis_name,dis_id
21721,BANGUN REJO,1638
22076,GARUT,1638
22300,KACA PURA,1638
22341,KANOMAN,1638
22345,KARANG AGUNG,1638
22367,KARANG REJO,1638
22679,MARGOMULYO,1638
22979,PARDA WARAS,1638
23282,SEDAYU,1638
23328,SIDO DADI,1638
23337,SIDO MULYO,1638
23476,SRI KATON,1638
23480,SRI KUNCORO,1638
23495,SRI PURNOMO,1638
23519,SUDIMORO BANGUN,1638
23520,SUDIMORO,1638
23601,SUKAJAYA,1638
23638,SUKARAJA,1638
24010,TUGU PAPAK,1638
24012,TUGU REJO,1638
24016,TULUNG ASAHAN,1638
24101,WAY KERAP,1638
