subdis_id,subdis_name,dis_id
58968,BANYU TAJUN DALAM,4914
58969,BANYU TAJUN HILIR,4914
58970,BANYU TAJUN HULU,4914
58971,BANYU TAJUN PANGKALAN,4914
59294,HAMBUKU HULU,4914
59296,HAMBUKU PASAR,4914
59297,HAMBUKU RAYA,4914
59298,HAMBUKU TENGAH,4914
59367,JALAN LURUS,4914
59834,MURUNG ASAM,4914
59870,PADANG BANGKAL,4914
59947,PANDULANGAN,4914
59960,PANGKALAN SARI,4914
60099,PONDOK BABARIS,4914
60144,PUTAT ATAS  / TATAU,4914
60174,RANTAU KARAU HILIR,4914
60175,RANTAU KARAU HULU,4914
60176,RANTAU KARAU RAYA,4914
60177,RANTAU KARAU TENGAH,4914
60300,SEI / SUNGAI KUINI,4914
60328,SEI / SUNGAI PANDAN HILIR,4914
60329,SEI / SUNGAI PANDAN HULU,4914
60330,SEI / SUNGAI PANDAN TENGAH,4914
60342,SEI / SUNGAI PINANG,4914
60371,SEI / SUNGAI SANDUNG,4914
60555,TAMBALANG KECIL,4914
60557,TAMBALANG TENGAH,4914
60558,TAMBALANG,4914
60633,TAPUS DALAM,4914
60644,TATAH LABAN,4914
60679,TELUK BETUNG,4914
60696,TELUK MESJID,4914
60700,TELUK SINAR,4914
