subdis_id,subdis_name,dis_id
52094,ANARAJA,4253
52285,BHERAMARI,4253
52546,EMBUZOZO,4253
52839,JEGHARONGGO,4253
52841,JEMBUREA,4253
52965,KEKANDERE,4253
52995,KERIREA,4253
53471,MALAWARU,4253
53603,MBOBHENGA,4253
53786,NDETUREA,4253
53792,NDORUREA I,4253
53793,NDORUREA,4253
53855,NGGOREA,4253
54112,ONDOREA BARAT,4253
54113,ONDOREA,4253
54206,PENGGAJAWA,4253
54380,RAPORENDU,4253
54381,RAPOWAWO,4253
54447,ROMAREA,4253
54495,SANGGARHORHO,4253
54659,TANAZOZO,4253
54717,TENDA ONDO,4253
54720,TENDAMBEPA,4253
54722,TENDAREA,4253
54754,TIMBARIA,4253
54760,TITWEREA,4253
54926,UZUZOZO,4253
55075,WATUMITE,4253
55226,ZOZOZEA,4253
