subdis_id,subdis_name,dis_id
55266,ARGO MULYO,4542
55362,BEGELANG JAYA,4542
55589,GUT JAYA BAKTI,4542
55703,KAYU DUJUNG,4542
55763,KERTA SARI,4542
55828,LANDAU BUAYA,4542
55926,MARGA HAYU,4542
56056,MUNGGUK GELOMBANG,4542
56057,MUNGGUK LAWANG,4542
56092,NANGA KELAPAN,4542
56261,PANDING JAYA,4542
56264,PANGGI AGUNG,4542
56786,SENANGAN KECIL,4542
56931,SUMBER SARI,4542
56933,SUNGAI AREH,4542
56964,SWADAYA,4542
57038,TANJUNG SARI,4542
57150,TERTA KARYA,4542
57210,WANA BHAKTI,4542
57211,WIRAYUDA,4542
