subdis_id,subdis_name,dis_id
31817,BLINGIJATI,2942
31982,BRINGINWARENG,2942
32095,BUMIHARJO,2942
32434,DANYANGMULYO,2942
32470,DEGAN,2942
33010,GODO,2942
33185,GUNUNGPANTI,2942
33221,GUYANGAN,2942
34256,KARANGKONANG,2942
34389,KARANGSUMBER,2942
34528,KEBOLAMPANG,2942
34584,KEBOWAN,2942
35088,KLECOREGONANG,2942
35270,KROPAK,2942
35295,KUDUR,2942
35919,MINTORAHAYU,2942
36410,PADANGAN,2942
36439,PAGENDISAN,2942
36803,PEKALONGAN,2942
37107,POHGADING,2942
37269,PULOREJO,2942
37719,SARIMULYO,2942
37974,SERUTSADANG,2942
38424,SUGIHAN,2942
38556,SUMBERMULYO,2942
38758,TANGGEL,2942
38875,TAWANGREJO,2942
39190,TLOGOREJO,2942
39566,WINONG,2942
39588,WIRUN,2942
