subdis_id,subdis_name,dis_id
20397,GELOMBANG,1543
20400,GENTING LUAR,1543
20417,GUNUNG BANTAN,1543
20422,GUNUNG KEMBANG,1543
20446,JAMBAT AKAR,1543
20492,KARANG ANYAR,1543
20551,KEMBANG MUMPO,1543
20569,KETAPANG BARU,1543
20640,LUBUK BETUNG,1543
20705,MARAS BANTAN,1543
20707,MARAS TENGAH,1543
20748,MUARA MARAS,1543
20759,MUARA TIMPUT,1543
20786,PADANG BAKUNG,1543
20813,PADANG KELAPA,1543
20830,PADANG PERI,1543
20945,PEMATANG RIDING / RINDANG,1543
21054,RIMBO BESAK,1543
21102,SENDAWAR,1543
21111,SERIAN BANDUNG,1543
21305,TALANG ALAI,1543
21321,TALANG BERINGIN,1543
21348,TALANG KEMANG,1543
21516,TEDUNAN,1543
21570,UJUNG PADANG,1543
