postal_id,subdis_id,dis_id,city_id,prov_id,postal_code
57257,57244,4709,312,21,73761
57296,57283,4709,312,21,73761
57302,57289,4735,312,21,73752
57322,57309,4746,312,21,73713
57323,57310,4747,312,21,73753
57334,57321,4752,312,21,73762
57337,57324,4752,312,21,73762
57415,57402,4747,312,21,73753
57416,57403,4709,312,21,73761
57420,57407,4747,312,21,73753
57452,57439,4735,312,21,73752
57457,57444,4746,312,21,73711
57482,57469,4752,312,21,73762
57483,57470,4735,312,21,73752
57484,57471,4746,312,21,73713
57485,57472,4746,312,21,73713
57487,57474,4746,312,21,73713
57495,57482,4746,312,21,73713
57520,57507,4747,312,21,73753
57541,57528,4735,312,21,73752
57565,57552,4746,312,21,73712
57567,57554,4735,312,21,73752
57569,57556,4735,312,21,73752
57595,57582,4709,312,21,73761
57608,57595,4746,312,21,73713
57623,57610,4746,312,21,73751
57629,57616,4752,312,21,73762
57688,57675,4747,312,21,73753
57765,57752,4752,312,21,73762
57766,57753,4746,312,21,73713
57799,57786,4746,312,21,73751
57800,57787,4746,312,21,73713
57803,57790,4752,312,21,73762
57809,57796,4735,312,21,73752
57819,57806,4709,312,21,73761
57821,57808,4747,312,21,73753
57834,57821,4746,312,21,73713
57836,57823,4752,312,21,73762
57856,57843,4735,312,21,73752
57857,57844,4735,312,21,73752
57858,57845,4747,312,21,73753
57860,57847,4735,312,21,73752
57881,57868,4752,312,21,73762
57896,57883,4709,312,21,73761
57915,57902,4746,312,21,73751
57916,57903,4747,312,21,73753
57918,57905,4746,312,21,73713
57924,57911,4747,312,21,73753
57934,57921,4746,312,21,73713
57958,57945,4747,312,21,73753
57998,57985,4747,312,21,73753
57999,57986,4746,312,21,73751
58001,57988,4746,312,21,73713
58005,57992,4735,312,21,73752
58042,58029,4746,312,21,73751
58054,58041,4747,312,21,73753
58055,58042,4747,312,21,73753
58075,58062,4746,312,21,73751
58087,58074,4735,312,21,73752
58142,58129,4735,312,21,73752
58154,58141,4823,312,21,73763
58158,58145,4823,312,21,73763
58163,58150,4823,312,21,73763
58176,58163,4735,312,21,73752
58188,58175,4747,312,21,73753
58193,58180,4746,312,21,73751
58222,58209,4746,312,21,73751
58229,58216,4747,312,21,73753
58276,58263,4752,312,21,73762
58288,58275,4747,312,21,73753
58307,58294,4735,312,21,73752
58319,58306,4709,312,21,73761
58355,58342,4747,312,21,73753
58401,58388,4747,312,21,73753
58402,58389,4823,312,21,73763
58424,58411,4709,312,21,73761
58443,58430,4735,312,21,73752
58444,58431,4735,312,21,73752
58447,58434,4709,312,21,73761
58448,58435,4823,312,21,73763
58473,58460,4746,312,21,73751
58498,58485,4735,312,21,73752
58506,58493,4746,312,21,73713
58509,58496,4735,312,21,73752
58513,58500,4709,312,21,73761
58519,58506,4746,312,21,73713
58523,58510,4709,312,21,73761
58525,58512,4746,312,21,73713
58526,58513,4752,312,21,73762
58540,58527,4746,312,21,73713
58765,58752,4747,312,21,73753
58777,58764,4747,312,21,73753
58781,58768,4747,312,21,73753
