postal_id,subdis_id,dis_id,city_id,prov_id,postal_code
6471,6465,296,30,2,20773
6612,6606,376,30,2,20856
6636,6630,393,30,2,20858
6637,6631,394,30,2,20773
6638,6632,394,30,2,20773
6639,6633,395,30,2,20811
6640,6634,395,30,2,20811
6641,6635,396,30,2,20772
6675,6669,422,30,2,20811
6763,6757,469,30,2,20853
6773,6767,477,30,2,20772
6898,6892,528,30,2,20852
6928,6922,422,30,2,20811
6950,6944,543,30,2,20854
6989,6983,552,30,2,20852
7012,7006,558,30,2,20774
7024,7018,543,30,2,20854
7093,7087,477,30,2,20772
7095,7089,582,30,2,20762
7096,7090,477,30,2,20772
7103,7097,583,30,2,20771
7112,7106,393,30,2,20858
7124,7118,477,30,2,20772
7125,7119,477,30,2,20772
7128,7122,590,30,2,20851
7129,7123,528,30,2,20852
7146,7140,590,30,2,20851
7179,7173,477,30,2,20772
7235,7229,608,30,2,20857
7236,7230,608,30,2,20857
7237,7231,608,30,2,20857
7241,7235,469,30,2,20853
7245,7239,393,30,2,20858
7246,7240,610,30,2,20859
7249,7243,610,30,2,20859
7250,7244,590,30,2,20851
7251,7245,376,30,2,20856
7253,7247,528,30,2,20852
7254,7248,610,30,2,20859
7280,7274,528,30,2,20852
7307,7301,543,30,2,20854
7323,7317,625,30,2,20855
7344,7338,477,30,2,20772
7355,7349,628,30,2,20858
7384,7378,422,30,2,20811
7389,7383,376,30,2,20856
7449,7443,583,30,2,20771
7475,7469,558,30,2,20774
7554,7548,477,30,2,20772
7562,7556,590,30,2,20851
7574,7568,590,30,2,20851
7610,7604,583,30,2,20771
7675,7669,396,30,2,20773
7709,7703,610,30,2,20859
7733,7727,394,30,2,20773
7734,7728,394,30,2,20773
7735,7729,394,30,2,20773
7736,7730,394,30,2,20773
7996,7990,543,30,2,20854
7997,7991,625,30,2,20855
8278,8272,625,30,2,20855
8287,8281,528,30,2,20852
8295,8289,590,30,2,20851
8342,8336,610,30,2,20859
8357,8351,688,30,2,20773
8362,8356,625,30,2,20855
8371,8365,625,30,2,20855
8373,8367,422,30,2,20811
8381,8375,552,30,2,20852
8383,8377,469,30,2,20853
8392,8386,590,30,2,20851
8393,8387,625,30,2,20855
8395,8389,543,30,2,20854
8407,8401,690,30,2,20881
8418,8412,625,30,2,20855
8516,8510,582,30,2,20762
8530,8524,688,30,2,20773
8536,8530,688,30,2,20773
8543,8537,701,30,2,20761
8544,8538,422,30,2,20811
8546,8540,625,30,2,20855
8547,8541,422,30,2,20811
8548,8542,376,30,2,20856
8549,8543,469,30,2,20853
8550,8544,583,30,2,20771
8551,8545,552,30,2,20852
8552,8546,528,30,2,20852
8553,8547,469,30,2,20853
8555,8549,582,30,2,20762
8611,8605,469,30,2,20853
8613,8607,394,30,2,20773
8615,8609,394,30,2,20773
8656,8650,558,30,2,20774
8657,8651,296,30,2,20773
8668,8662,582,30,2,20762
8681,8675,296,30,2,20773
8733,8727,628,30,2,20858
8840,8834,690,30,2,20881
8841,8835,690,30,2,20881
8974,8968,582,30,2,20762
8989,8983,422,30,2,20811
9101,9095,583,30,2,20771
9102,9096,590,30,2,20851
9104,9098,394,30,2,20773
9114,9108,395,30,2,20811
9145,9139,296,30,2,20773
9200,9194,543,30,2,20854
9208,9202,558,30,2,20774
9270,9264,296,30,2,20773
9272,9266,582,30,2,20762
9277,9271,477,30,2,20772
9292,9286,688,30,2,20773
9294,9288,583,30,2,20771
9295,9289,583,30,2,20771
9296,9290,552,30,2,20852
9453,9447,582,30,2,20762
9462,9456,582,30,2,20762
9474,9468,376,30,2,20856
9499,9493,528,30,2,20852
9574,9568,376,30,2,20856
9575,9569,552,30,2,20852
9577,9571,296,30,2,20773
