postal_id,subdis_id,dis_id,city_id,prov_id,postal_code
95,95,64,19,1,23232
191,191,106,19,1,23116
376,376,64,19,1,23234
381,381,165,19,1,23244
382,382,165,19,1,23245
388,388,165,19,1,23244
389,389,165,19,1,23241
517,517,200,19,1,23126
593,592,213,19,1,23245
670,669,200,19,1,23124
737,736,232,19,1,23235
792,791,213,19,1,23248
914,913,64,19,1,23233
1231,1230,257,19,1,23117
1344,1343,64,19,1,23233
1376,1375,213,19,1,23246
1603,1601,106,19,1,23116
1617,1615,64,19,1,23232
1618,1616,64,19,1,23232
1627,1625,257,19,1,23117
1655,1653,232,19,1,23236
1696,1694,64,19,1,23234
1716,1714,64,19,1,23234
1741,1739,270,19,1,23128
1770,1768,270,19,1,23128
1775,1773,106,19,1,23116
1776,1774,64,19,1,23233
1860,1858,271,19,1,23239
1861,1859,271,19,1,23239
1862,1860,271,19,1,23239
1863,1861,232,19,1,23241
2070,2068,106,19,1,23116
2071,2069,257,19,1,23117
2074,2072,257,19,1,23119
2161,2159,106,19,1,23114
2261,2259,165,19,1,23242
2407,2405,270,19,1,23129
2500,2498,200,19,1,23126
2552,2550,106,19,1,23111
2555,2553,200,19,1,23125
2733,2731,200,19,1,23121
2901,2899,200,19,1,23122
2911,2909,271,19,1,23238
2932,2930,213,19,1,23244
2954,2952,271,19,1,23239
3003,3001,200,19,1,23127
3011,3009,257,19,1,23118
3018,3016,64,19,1,23233
3025,3023,200,19,1,23127
3030,3028,257,19,1,23117
3031,3029,106,19,1,23115
3034,3032,64,19,1,23234
3037,3035,232,19,1,23235
3058,3056,213,19,1,23248
3067,3065,64,19,1,23231
3068,3066,270,19,1,23231
3085,3083,232,19,1,23235
3099,3097,200,19,1,23127
3100,3098,271,19,1,23238
3109,3107,213,19,1,23247
3119,3117,257,19,1,23118
3120,3118,232,19,1,23230
3121,3119,232,19,1,23230
3406,3404,271,19,1,23238
3407,3405,271,19,1,23238
3474,3472,213,19,1,23247
3752,3750,270,19,1,23242
4090,4087,271,19,1,23238
4145,4142,200,19,1,23123
4205,4202,165,19,1,23244
4206,4203,165,19,1,23243
4335,4332,257,19,1,23119
4336,4333,257,19,1,23119
4433,4430,213,19,1,23247
4777,4774,270,19,1,23129
4792,4789,200,19,1,23122
4798,4795,165,19,1,23241
4799,4796,271,19,1,23238
4821,4818,106,19,1,23116
5011,5008,232,19,1,23234
5012,5009,64,19,1,23231
5013,5010,64,19,1,23233
5221,5217,106,19,1,23112
5548,5544,165,19,1,23243
5756,5752,213,19,1,23249
5762,5758,165,19,1,23243
5798,5794,64,19,1,23234
6086,6082,106,19,1,23114
6354,6348,64,19,1,23234
6363,6357,232,19,1,23235
