postal_id,subdis_id,dis_id,city_id,prov_id,postal_code
24192,24182,1790,142,9,33351
24193,24183,1791,142,9,33364
24197,24187,1794,142,9,33362
24203,24193,1799,142,9,33362
24204,24194,1790,142,9,33351
24205,24195,1800,142,9,33365
24207,24197,1801,142,9,33366
24210,24200,1801,142,9,33366
24211,24201,1790,142,9,33351
24224,24214,1794,142,9,33362
24243,24233,1790,142,9,33351
24247,24237,1800,142,9,33365
24249,24239,1801,142,9,33366
24252,24242,1791,142,9,33364
24264,24254,1801,142,9,33366
24268,24258,1800,142,9,33365
24277,24267,1794,142,9,33362
24281,24271,1791,142,9,33364
24299,24289,1801,142,9,33366
24304,24294,1799,142,9,33362
24316,24306,1791,142,9,33364
24317,24307,1794,142,9,33362
24324,24314,1791,142,9,33364
24328,24318,1794,142,9,33362
24329,24319,1791,142,9,33364
24341,24331,1799,142,9,33362
24352,24342,1801,142,9,33366
24367,24357,1799,142,9,33362
24376,24366,1791,142,9,33364
24383,24373,1801,142,9,33366
24394,24384,1799,142,9,33362
24413,24403,1801,142,9,33366
24414,24404,1791,142,9,33364
24429,24419,1799,142,9,33362
24431,24421,1801,142,9,33366
24439,24429,1800,142,9,33365
24441,24431,1801,142,9,33366
24459,24449,1794,142,9,33362
24461,24451,1791,142,9,33364
24464,24454,1801,142,9,33366
24466,24456,1799,142,9,33362
24477,24467,1799,142,9,33362
24481,24471,1800,142,9,33365
24484,24474,1794,142,9,33362
24492,24482,1794,142,9,33362
24499,24489,1801,142,9,33366
24506,24496,1801,142,9,33366
24507,24497,1800,142,9,33365
24510,24500,1799,142,9,33362
24511,24501,1791,142,9,33364
24512,24502,1800,142,9,33365
24519,24509,1790,142,9,33312
24520,24510,1799,142,9,33362
24521,24511,1790,142,9,33313
24541,24531,1790,142,9,33311
24542,24532,1800,142,9,33365
24543,24533,1791,142,9,33364
24545,24535,1794,142,9,33362
24546,24536,1794,142,9,33362
24548,24538,1800,142,9,33365
24552,24542,1791,142,9,33364
24560,24550,1791,142,9,33364
24561,24551,1791,142,9,33364
24563,24553,1799,142,9,33362
