postal_id,subdis_id,dis_id,city_id,prov_id,postal_code
6465,6459,290,24,2,22881
6608,6602,372,24,2,22881
6642,6636,397,24,2,22866
6643,6637,398,24,2,22866
6652,6646,406,24,2,22867
6654,6648,408,24,2,22873
6656,6650,406,24,2,22867
6663,6657,412,24,2,22864
6665,6659,414,24,2,22864
6670,6664,419,24,2,22874
6677,6671,424,24,2,22866
6696,6690,439,24,2,22873
6715,6709,424,24,2,22866
6759,6753,290,24,2,22881
6760,6754,290,24,2,22881
6778,6772,372,24,2,22881
6779,6773,372,24,2,22881
6792,6786,482,24,2,22881
6794,6788,484,24,2,22873
6795,6789,408,24,2,22873
6796,6790,485,24,2,22864
6797,6791,439,24,2,22873
6799,6793,487,24,2,22881
6929,6923,424,24,2,22866
6960,6954,482,24,2,22881
6961,6955,545,24,2,22881
7051,7045,569,24,2,22867
7053,7047,571,24,2,22864
7055,7049,482,24,2,22881
7056,7050,487,24,2,22881
7057,7051,572,24,2,22865
7058,7052,406,24,2,22867
7059,7053,572,24,2,22865
7060,7054,572,24,2,22865
7061,7055,487,24,2,22881
7062,7056,482,24,2,22881
7063,7057,487,24,2,22881
7064,7058,572,24,2,22865
7067,7061,482,24,2,22881
7068,7062,574,24,2,22865
7069,7063,575,24,2,22865
7070,7064,576,24,2,22865
7071,7065,576,24,2,22865
7072,7066,412,24,2,22864
7073,7067,577,24,2,22865
7074,7068,577,24,2,22865
7075,7069,419,24,2,22874
7076,7070,578,24,2,22881
7077,7071,576,24,2,22865
7078,7072,574,24,2,22865
7079,7073,574,24,2,22865
7080,7074,545,24,2,22881
7081,7075,419,24,2,22874
7082,7076,412,24,2,22864
7084,7078,485,24,2,22864
7085,7079,576,24,2,22865
7086,7080,578,24,2,22881
7088,7082,419,24,2,22874
7122,7116,414,24,2,22864
7158,7152,596,24,2,22873
7166,7160,578,24,2,22881
7185,7179,484,24,2,22873
7187,7181,398,24,2,22866
7211,7205,576,24,2,22865
7215,7209,406,24,2,22867
7221,7215,605,24,2,22867
7222,7216,574,24,2,22865
7223,7217,574,24,2,22865
7224,7218,412,24,2,22864
7225,7219,574,24,2,22865
7226,7220,574,24,2,22865
7243,7237,439,24,2,22873
7260,7254,414,24,2,22864
7304,7298,605,24,2,22867
7351,7345,439,24,2,22873
7364,7358,571,24,2,22864
7365,7359,439,24,2,22873
7366,7360,596,24,2,22873
7367,7361,424,24,2,22866
7392,7386,439,24,2,22873
7460,7454,545,24,2,22881
7466,7460,487,24,2,22881
7467,7461,576,24,2,22865
7468,7462,574,24,2,22865
7469,7463,545,24,2,22881
7471,7465,569,24,2,22867
7478,7472,574,24,2,22865
7479,7473,605,24,2,22867
7492,7486,569,24,2,22867
7497,7491,642,24,2,22864
7502,7496,439,24,2,22873
7503,7497,645,24,2,22874
7504,7498,576,24,2,22865
7510,7504,397,24,2,22866
7511,7505,408,24,2,22873
7512,7506,397,24,2,22866
7513,7507,439,24,2,22873
7515,7509,578,24,2,22881
7521,7515,645,24,2,22874
7545,7539,572,24,2,22865
7571,7565,652,24,2,22881
7572,7566,652,24,2,22881
7575,7569,419,24,2,22874
7576,7570,645,24,2,22874
7578,7572,652,24,2,22881
7593,7587,655,24,2,22873
7693,7687,439,24,2,22873
7712,7706,487,24,2,22881
7739,7733,439,24,2,22873
7742,7736,419,24,2,22874
7771,7765,578,24,2,22881
7774,7768,642,24,2,22864
7783,7777,482,24,2,22881
7784,7778,412,24,2,22864
7790,7784,605,24,2,22867
7793,7787,419,24,2,22874
7794,7788,424,24,2,22866
7795,7789,571,24,2,22864
7797,7791,596,24,2,22873
7799,7793,645,24,2,22874
7800,7794,575,24,2,22865
7801,7795,572,24,2,22865
7802,7796,439,24,2,22873
7803,7797,575,24,2,22865
7804,7798,574,24,2,22865
7806,7800,424,24,2,22866
7807,7801,572,24,2,22865
7808,7802,439,24,2,22873
7809,7803,596,24,2,22873
7810,7804,572,24,2,22865
7811,7805,545,24,2,22881
7812,7806,575,24,2,22865
7813,7807,576,24,2,22865
7817,7811,408,24,2,22873
7820,7814,596,24,2,22873
7822,7816,671,24,2,22874
7824,7818,414,24,2,22864
7827,7821,398,24,2,22866
7828,7822,424,24,2,22866
7830,7824,406,24,2,22867
7831,7825,572,24,2,22865
7832,7826,572,24,2,22865
7833,7827,569,24,2,22867
7834,7828,576,24,2,22865
7835,7829,605,24,2,22867
7837,7831,574,24,2,22865
7838,7832,572,24,2,22865
7839,7833,577,24,2,22865
7840,7834,439,24,2,22873
7841,7835,424,24,2,22866
7843,7837,419,24,2,22874
7845,7839,572,24,2,22865
7846,7840,572,24,2,22865
7849,7843,487,24,2,22881
7850,7844,572,24,2,22865
7852,7846,574,24,2,22865
7858,7852,414,24,2,22864
7861,7855,424,24,2,22866
7864,7858,398,24,2,22866
7866,7860,545,24,2,22881
7867,7861,574,24,2,22865
7868,7862,412,24,2,22864
7869,7863,572,24,2,22865
7870,7864,671,24,2,22874
7872,7866,577,24,2,22865
7873,7867,572,24,2,22865
7874,7868,576,24,2,22865
7875,7869,398,24,2,22866
7876,7870,406,24,2,22867
7877,7871,575,24,2,22865
7878,7872,424,24,2,22866
7879,7873,569,24,2,22867
7880,7874,487,24,2,22881
7881,7875,655,24,2,22873
7885,7879,655,24,2,22873
7888,7882,596,24,2,22873
7889,7883,596,24,2,22873
7892,7886,439,24,2,22873
7897,7891,412,24,2,22864
7898,7892,398,24,2,22866
7899,7893,424,24,2,22866
7901,7895,485,24,2,22864
7904,7898,485,24,2,22864
7905,7899,398,24,2,22866
7906,7900,424,24,2,22866
7909,7903,572,24,2,22865
7915,7909,575,24,2,22865
7916,7910,572,24,2,22865
7917,7911,572,24,2,22865
7918,7912,485,24,2,22864
7919,7913,485,24,2,22864
7920,7914,419,24,2,22874
7921,7915,577,24,2,22865
7922,7916,575,24,2,22865
7923,7917,398,24,2,22866
7924,7918,575,24,2,22865
7925,7919,545,24,2,22881
7926,7920,397,24,2,22866
7927,7921,574,24,2,22865
7928,7922,572,24,2,22865
7930,7924,645,24,2,22874
7931,7925,596,24,2,22873
7932,7926,545,24,2,22881
7933,7927,545,24,2,22881
7934,7928,424,24,2,22866
7935,7929,485,24,2,22864
7936,7930,596,24,2,22873
7937,7931,419,24,2,22874
7939,7933,482,24,2,22881
7940,7934,574,24,2,22865
7942,7936,398,24,2,22866
7943,7937,439,24,2,22873
7944,7938,572,24,2,22865
7946,7940,605,24,2,22867
7947,7941,572,24,2,22865
7948,7942,671,24,2,22874
7949,7943,575,24,2,22865
7950,7944,575,24,2,22865
7951,7945,575,24,2,22865
7952,7946,575,24,2,22865
7953,7947,575,24,2,22865
7954,7948,424,24,2,22866
7956,7950,439,24,2,22873
7957,7951,596,24,2,22873
7958,7952,419,24,2,22874
7959,7953,576,24,2,22865
7960,7954,572,24,2,22865
7961,7955,575,24,2,22865
7962,7956,424,24,2,22866
7963,7957,596,24,2,22873
7964,7958,572,24,2,22865
7965,7959,571,24,2,22864
7966,7960,569,24,2,22867
7968,7962,408,24,2,22873
7969,7963,596,24,2,22873
7970,7964,406,24,2,22867
7976,7970,419,24,2,22874
7980,7974,642,24,2,22864
7981,7975,397,24,2,22866
7982,7976,577,24,2,22865
7983,7977,577,24,2,22865
7984,7978,577,24,2,22865
7985,7979,578,24,2,22881
7986,7980,596,24,2,22873
7987,7981,671,24,2,22874
7989,7983,574,24,2,22865
7991,7985,569,24,2,22867
7992,7986,419,24,2,22874
7993,7987,577,24,2,22865
8001,7995,574,24,2,22865
8012,8006,671,24,2,22874
8017,8011,424,24,2,22866
8207,8201,576,24,2,22865
8294,8288,487,24,2,22881
8446,8440,605,24,2,22867
8470,8464,482,24,2,22881
8471,8465,605,24,2,22867
8561,8555,290,24,2,22881
8562,8556,290,24,2,22881
8563,8557,290,24,2,22881
8564,8558,290,24,2,22881
8565,8559,290,24,2,22881
8592,8586,574,24,2,22865
8598,8592,574,24,2,22865
8599,8593,439,24,2,22873
8600,8594,419,24,2,22874
8601,8595,397,24,2,22866
8602,8596,419,24,2,22874
8612,8606,569,24,2,22867
8616,8610,290,24,2,22881
8648,8642,482,24,2,22881
8690,8684,605,24,2,22867
8692,8686,439,24,2,22873
8693,8687,439,24,2,22873
8696,8690,577,24,2,22865
8697,8691,408,24,2,22873
8702,8696,642,24,2,22864
8714,8708,484,24,2,22873
8739,8733,372,24,2,22881
8751,8745,482,24,2,22881
8771,8765,398,24,2,22866
8776,8770,406,24,2,22867
8780,8774,412,24,2,22864
8786,8780,412,24,2,22864
8790,8784,485,24,2,22864
8794,8788,577,24,2,22865
8796,8790,398,24,2,22866
8797,8791,412,24,2,22864
8799,8793,439,24,2,22873
8801,8795,412,24,2,22864
8804,8798,398,24,2,22866
8807,8801,408,24,2,22873
8819,8813,578,24,2,22881
8821,8815,569,24,2,22867
8822,8816,655,24,2,22873
8924,8918,545,24,2,22881
8925,8919,545,24,2,22881
8941,8935,290,24,2,22881
8946,8940,372,24,2,22881
8951,8945,487,24,2,22881
8961,8955,414,24,2,22864
8973,8967,414,24,2,22864
9011,9005,406,24,2,22867
