postal_id,subdis_id,dis_id,city_id,prov_id,postal_code
69036,69022,5774,395,28,93664
69206,69192,5847,395,28,93654
69208,69194,5849,395,28,93661
69215,69201,5851,395,28,93674
69216,69202,5852,395,28,93655
69229,69215,5857,395,28,93674
69239,69225,5863,395,28,93659
69242,69228,5865,395,28,93656
69243,69229,5774,395,28,93664
69248,69234,5868,395,28,93654
69253,69239,5870,395,28,93664
69255,69241,5872,395,28,93652
69284,69270,5887,395,28,93661
69293,69279,5887,395,28,93661
69302,69288,5891,395,28,93653
69317,69303,5894,395,28,93658
69322,69308,5857,395,28,93674
69323,69309,5895,395,28,93663
69324,69310,5895,395,28,93663
69326,69312,5895,395,28,93663
69328,69314,5868,395,28,93654
69350,69336,5901,395,28,93674
69356,69342,5904,395,28,93658
69361,69347,5872,395,28,93652
69368,69354,5907,395,28,93611
69373,69359,5865,395,28,93656
69374,69360,5910,395,28,93662
69404,69390,5910,395,28,93662
69405,69391,5774,395,28,93664
69411,69397,5863,395,28,93659
69413,69399,5863,395,28,93659
69414,69400,5852,395,28,93655
69459,69445,5927,395,28,93664
69468,69454,5849,395,28,93661
69480,69466,5931,395,28,93662
69488,69474,5887,395,28,93661
69495,69481,5901,395,28,93674
69496,69482,5934,395,28,93652
69499,69485,5936,395,28,93657
69507,69493,5774,395,28,93664
69529,69515,5887,395,28,93661
69530,69516,5852,395,28,93655
69532,69518,5870,395,28,93664
69544,69530,5870,395,28,93664
69545,69531,5943,395,28,93653
69548,69534,5934,395,28,93652
69552,69538,5887,395,28,93661
69555,69541,5774,395,28,93664
69559,69545,5849,395,28,93661
69564,69550,5901,395,28,93674
69569,69555,5948,395,28,93663
69571,69557,5949,395,28,93674
69578,69564,5927,395,28,93664
69580,69566,5952,395,28,93655
69581,69567,5868,395,28,93654
69583,69569,5852,395,28,93655
69589,69575,5894,395,28,93658
69593,69579,5849,395,28,93661
69594,69580,5887,395,28,93661
69595,69581,5910,395,28,93662
69596,69582,5904,395,28,93658
69598,69584,5894,395,28,93658
69609,69595,5910,395,28,93662
69622,69608,5852,395,28,93655
69628,69614,5865,395,28,93656
69631,69617,5931,395,28,93662
69640,69626,5957,395,28,93653
69641,69627,5868,395,28,93654
69651,69637,5901,395,28,93674
69652,69638,5948,395,28,93663
69654,69640,5851,395,28,93674
69655,69641,5868,395,28,93654
69662,69648,5907,395,28,93611
69664,69650,5872,395,28,93652
69665,69651,5959,395,28,93652
69666,69652,5863,395,28,93659
69667,69653,5910,395,28,93662
69673,69659,5952,395,28,93655
69677,69663,5849,395,28,93661
69680,69666,5948,395,28,93663
69683,69669,5934,395,28,93652
69685,69671,5887,395,28,93661
69687,69673,5961,395,28,93614
69688,69674,5957,395,28,93653
