postal_id,subdis_id,dis_id,city_id,prov_id,postal_code
40198,40188,3219,216,15,64181
40310,40300,3311,216,15,64292
40320,40310,3318,216,15,64291
40341,40331,3337,216,15,64171
40342,40332,3337,216,15,64171
40344,40334,3339,216,15,64221
40388,40378,3377,216,15,64151
40438,40428,3411,216,15,64156
40454,40444,3421,216,15,64129
40473,40463,3430,216,15,64294
40478,40468,3433,216,15,64133
40498,40488,3445,216,15,64118
40499,40489,3445,216,15,64114
40529,40519,3337,216,15,64171
40538,40528,3219,216,15,64181
40544,40534,3433,216,15,64131
40550,40540,3476,216,15,64183
40582,40572,3445,216,15,64119
40602,40592,3421,216,15,64124
40605,40595,3505,216,15,64172
40615,40605,3337,216,15,64171
40620,40610,3512,216,15,64155
40674,40664,3538,216,15,64157
40688,40678,3219,216,15,64181
40783,40773,3576,216,15,64176
40802,40792,3433,216,15,64136
40804,40794,3476,216,15,64183
40821,40811,3318,216,15,64291
40834,40824,3337,216,15,64171
40861,40851,3605,216,15,64154
40884,40874,3613,216,15,64183
40885,40875,3614,216,15,64225
40896,40886,3505,216,15,64172
40936,40926,3633,216,15,64293
40940,40930,3219,216,15,64181
40958,40948,3433,216,15,64134
40998,40988,3646,216,15,64173
40999,40989,3433,216,15,64135
41009,40999,3339,216,15,64219
41010,41000,3605,216,15,64154
41014,41004,3505,216,15,64172
41028,41018,3219,216,15,64181
41031,41021,3653,216,15,64162
41035,41025,3654,216,15,64152
41052,41042,3662,216,15,64161
41063,41053,3219,216,15,64181
41071,41061,3512,216,15,64155
41123,41113,3337,216,15,64171
41138,41128,3684,216,15,64175
41142,41132,3339,216,15,64224
41163,41153,3633,216,15,64293
41190,41180,3445,216,15,64119
41200,41190,3430,216,15,64294
41225,41215,3605,216,15,64154
41227,41217,3662,216,15,64161
41253,41243,3613,216,15,64183
41265,41255,3654,216,15,64152
41307,41297,3433,216,15,64131
41313,41303,3505,216,15,64172
41333,41323,3445,216,15,64116
41366,41356,3339,216,15,64217
41406,41396,3646,216,15,64173
41413,41403,3654,216,15,64152
41430,41420,3377,216,15,64151
41523,41513,3633,216,15,64293
41529,41519,3421,216,15,64122
41541,41531,3614,216,15,64227
41552,41542,3377,216,15,64151
41559,41549,3755,216,15,64153
41569,41559,3605,216,15,64154
41575,41565,3576,216,15,64176
41578,41568,3605,216,15,64154
41608,41598,3445,216,15,64111
41614,41604,3576,216,15,64176
41642,41632,3764,216,15,64182
41650,41640,3684,216,15,64175
41697,41687,3337,216,15,64171
41715,41705,3411,216,15,64156
41745,41735,3781,216,15,64174
41756,41746,3219,216,15,64181
41786,41776,3311,216,15,64292
41787,41777,3781,216,15,64174
41815,41805,3377,216,15,64151
41819,41809,3793,216,15,64182
41868,41858,3219,216,15,64113
41870,41860,3445,216,15,64113
41907,41897,3614,216,15,64214
41965,41955,3219,216,15,64181
42082,42072,3764,216,15,64182
42103,42093,3684,216,15,64175
42139,33096,3377,216,15,64151
42224,42214,3219,216,15,64181
42249,42239,3505,216,15,64172
42252,42242,3538,216,15,64157
42270,42260,3421,216,15,64125
42275,42265,3318,216,15,64291
42276,42266,3613,216,15,64183
42281,42271,3781,216,15,64174
42290,42280,3755,216,15,64153
42295,42285,3505,216,15,64172
42312,42302,3476,216,15,64183
42324,42314,3433,216,15,64132
42336,42326,3755,216,15,64153
42341,42331,3781,216,15,64174
42343,42333,3605,216,15,64154
42350,42340,3684,216,15,64175
42373,42363,3654,216,15,64152
42414,42404,3538,216,15,64157
42476,42466,3576,216,15,64176
42507,42497,3430,216,15,64294
42510,42500,3430,216,15,64294
42541,42531,3430,216,15,64294
42559,42549,3662,216,15,64161
42560,42550,3781,216,15,64174
42576,42566,3793,216,15,64182
42602,42592,3653,216,15,64162
42630,42620,3411,216,15,64156
42707,42697,3793,216,15,64182
42711,42701,3654,216,15,64152
42742,42732,3421,216,15,64126
42747,42737,3377,216,15,64151
42770,42760,3654,216,15,64152
42808,42798,3613,216,15,64183
42814,42804,3421,216,15,64126
42818,42808,3633,216,15,64293
42830,34041,3430,216,15,64294
42842,42832,3646,216,15,64173
42850,42840,3505,216,15,64172
42859,42849,3662,216,15,64161
42862,42852,3411,216,15,64156
42869,42859,3411,216,15,64156
42962,42952,3781,216,15,64174
43018,43008,3605,216,15,64154
43034,43024,3646,216,15,64173
43043,43033,3764,216,15,64182
43069,43059,3505,216,15,64172
43074,43064,3430,216,15,64294
43110,43100,3430,216,15,64294
43150,43140,3684,216,15,64175
43160,43150,3476,216,15,64183
43161,43151,3512,216,15,64155
43171,43161,3684,216,15,64175
43224,43214,3633,216,15,64293
43253,43243,3662,216,15,64161
43265,43255,3653,216,15,64162
43363,43353,3755,216,15,64153
43402,43392,3654,216,15,64152
43440,43430,3633,216,15,64293
43458,43448,3421,216,15,64125
43484,43474,3430,216,15,64294
43501,43491,3605,216,15,64154
43516,43506,3633,216,15,64293
43546,43536,3653,216,15,64162
43597,43587,3755,216,15,64153
43606,43596,3793,216,15,64182
43612,43602,3633,216,15,64293
43625,43615,3654,216,15,64152
43630,43620,3219,216,15,64181
43684,43674,3433,216,15,64139
43713,43703,3605,216,15,64154
43770,43760,3430,216,15,64294
43771,43761,3605,216,15,64154
43781,43771,3684,216,15,64175
43803,43793,3411,216,15,64156
43901,43891,3505,216,15,64172
43905,43895,3653,216,15,64162
43909,43899,3219,216,15,64181
43916,43906,3505,216,15,64172
43922,43912,3653,216,15,64162
43928,43918,3339,216,15,64218
43936,43926,3633,216,15,64293
43986,43976,3411,216,15,64156
43987,43977,3318,216,15,64156
44015,44005,3411,216,15,64156
44024,44014,3764,216,15,64182
44031,44021,3755,216,15,64153
44057,44047,3339,216,15,64216
44067,44057,3512,216,15,64155
44192,44182,3445,216,15,64117
44253,44243,3755,216,15,64153
44258,44248,3653,216,15,64162
44310,44300,3318,216,15,64291
44312,44302,3311,216,15,64292
44333,44323,3337,216,15,64171
44341,44331,3421,216,15,64128
44363,44353,3538,216,15,64157
44384,44374,3318,216,15,64291
44389,44379,3538,216,15,64157
44431,44421,3430,216,15,64294
44436,44426,3512,216,15,64155
44441,44431,3605,216,15,64154
44449,44439,3613,216,15,64183
44495,44485,3605,216,15,64154
44509,44499,3755,216,15,64153
44517,44507,3430,216,15,64294
44529,44519,3653,216,15,64162
44553,44543,3653,216,15,64162
44559,44549,3512,216,15,64155
44578,44568,3512,216,15,64155
44616,44606,3445,216,15,64112
44623,44613,3505,216,15,64172
44646,44636,3653,216,15,64162
44673,44663,3605,216,15,64154
44680,44670,3445,216,15,64111
44690,44680,3476,216,15,64183
44715,44705,3605,216,15,64154
44736,44726,3764,216,15,64182
44737,44727,3576,216,15,64176
44745,44735,3476,216,15,64183
44761,44751,3538,216,15,64157
44765,44755,3653,216,15,64162
44769,44759,3337,216,15,64171
44779,44769,3421,216,15,64122
44816,44806,3445,216,15,64112
44818,44808,3755,216,15,64153
44823,44813,3318,216,15,64291
44844,44834,3219,216,15,64181
44848,44837,3764,216,15,64182
44860,44850,3793,216,15,64182
44903,44893,3653,216,15,64162
44916,44906,3512,216,15,64155
44939,44929,3646,216,15,64137
44940,44930,3433,216,15,64137
44948,44938,3219,216,15,64181
44986,44976,3646,216,15,64173
45004,44994,3421,216,15,64127
45069,45059,3505,216,15,64172
45124,45114,3476,216,15,64183
45178,45168,3613,216,15,64183
45179,45169,3781,216,15,64174
45181,45171,3662,216,15,64161
45215,45205,3421,216,15,64123
45222,45212,3411,216,15,64156
45243,45233,3433,216,15,64132
45275,45265,3653,216,15,64162
45323,45313,3605,216,15,64154
45327,45317,3318,216,15,64291
45402,45392,3684,216,15,64175
45420,45410,3755,216,15,64153
45426,45416,3538,216,15,64157
45434,45424,3614,216,15,64211
45435,45425,3411,216,15,64156
45443,45433,3764,216,15,64182
45515,45505,3512,216,15,64155
45534,45524,3755,216,15,64153
45536,45526,3755,216,15,64153
45570,45560,3505,216,15,64172
45576,45566,3614,216,15,64213
45650,45640,3433,216,15,64131
45655,45645,3605,216,15,64154
45676,45666,3653,216,15,64162
45688,45678,3653,216,15,64162
45741,45731,3781,216,15,64174
45745,45735,3512,216,15,64155
45757,45747,3653,216,15,64162
45775,45765,3684,216,15,64175
45776,45766,3684,216,15,64175
45777,45767,3793,216,15,64182
45794,45784,3421,216,15,64123
45826,45816,3445,216,15,64115
45830,45820,3781,216,15,64174
45856,45846,3653,216,15,64162
45898,45888,3684,216,15,64175
45966,45956,3755,216,15,64153
45967,45957,3512,216,15,64155
45968,45958,3662,216,15,64161
45969,45959,3662,216,15,64161
45978,45968,3646,216,15,64173
46005,45995,3311,216,15,64292
46017,46007,3684,216,15,64175
46036,46026,3605,216,15,64154
46044,46034,3505,216,15,64172
46045,46035,3605,216,15,64154
46047,46037,3576,216,15,64176
46053,46043,3337,216,15,64171
46060,46050,3646,216,15,64173
46081,46071,3755,216,15,64153
46095,46085,3793,216,15,64182
46186,46176,3421,216,15,64129
